,Order_ID,Product_ID,Product_Category,Product_Name,Region,City,Supplier_ID,Supplier_Lead_Time_Days,Warehouse_ID,Current_Inventory,Previous_Day_Sales,Previous_7_Days_Sales,Previous_30_Days_Sales,Average_Daily_Sales,Unit_Price,Discount_Percentage,Promotion,Holiday,Season,Weather,Competitor_Price,Stockout_Days,Delivery_Delay_Days,Transportation_Cost,Customer_Return_Rate,Demand_Quantity,Order_Year,Order_Month,Order_Day,Order_DayOfWeek
0,ORD100000,P-BEA-004,Beauty,Talcum Powder,North,Delhi,SUP-034,4.0,WH-NO-05,310.0,16.0,169.0,533.0,22.23,1023.28,8.0,No,No,Summer,Sunny,1033.61,0.0,21.0,218.83,0.129,22,2024,4,2,1
1,ORD100001,P-CLO-006,Clothing,Cotton Saree,West,Surat,SUP-019,13.0,WH-WE-04,100.0,21.0,127.0,488.0,16.42,574.07,3.9,Yes,No,Spring,Sunny,618.38,0.0,2.0,476.26,0.021,29,2023,2,19,6
2,ORD100002,P-BEA-013,Beauty,Lipstick Set,West,Pune,SUP-028,11.0,WH-WE-02,120.0,30.0,136.0,642.0,21.96,775.39,21.2,No,No,Summer,Sunny,749.79,0.0,1.0,379.62,0.023,20,2024,3,14,3
3,ORD100003,P-FUR-002,Furniture,Study Table,North,Jaipur,SUP-039,2.0,WH-NO-05,156.0,6.0,41.0,238.0,6.76,7612.19,20.2,No,Yes,Autumn,Rainy,7279.16,0.0,,440.4,0.048,9,2021,10,26,1
4,ORD100004,P-ELE-002,Electronics,Smartphone Charger,North,Chandigarh,SUP-002,4.0,WH-NO-05,220.0,15.0,64.0,363.0,12.74,5600.06,13.1,No,No,Winter,Sunny,5218.89,0.0,1.0,239.47,0.072,10,2022,1,27,3
5,ORD100005,P-SPO-005,Sports,Football,South,Chennai,SUP-005,3.0,WH-SO-01,58.0,11.0,56.0,329.0,10.65,3072.38,9.6,Yes,No,Summer,Rainy,3564.05,1.0,0.0,253.36,0.078,13,2021,5,9,6
6,ORD100006,P-BEA-010,Beauty,Lipstick Set,West,Ahmedabad,SUP-037,16.0,WH-WE-01,345.0,36.0,181.0,868.0,30.25,1027.41,10.3,No,No,Autumn,Rainy,1150.14,0.0,1.0,368.05,0.164,36,2023,9,14,3
7,ORD100007,P-BEA-013,Beauty,Talcum Powder,East,Kolkata,SUP-023,5.0,WH-EA-02,431.0,27.0,132.0,485.0,19.85,459.05,3.2,No,No,Winter,Sunny,448.22,0.0,1.0,258.87,0.099,23,2023,12,7,3
8,ORD100008,P-ELE-009,Electronics,Wireless Earbuds,West,Surat,SUP-025,9.0,WH-WE-04,102.0,8.0,91.0,346.0,11.62,5957.28,18.0,No,No,Spring,Cloudy,6519.78,0.0,1.0,347.3,0.025,13,2022,2,19,5
9,ORD100009,P-CLO-008,Clothing,Kids Winter Jacket,South,Chennai,SUP-014,11.0,WH-SO-03,412.0,13.0,151.0,603.0,19.69,518.33,0.3,No,No,Autumn,Sunny,496.51,0.0,1.0,373.85,0.111,24,2022,7,16,5
10,ORD100010,P-GRO-014,Grocery,Wheat Flour 5kg,North,Lucknow,SUP-034,4.0,WH-NO-03,139.0,26.0,238.0,898.0,31.7,389.1,7.3,No,No,Summer,Sunny,384.26,0.0,4.0,419.7,0.072,22,2023,4,12,2
11,ORD100011,P-SPO-003,Sports,Cricket Bat,East,Kolkata,SUP-026,4.0,WH-EA-03,101.0,9.0,70.0,305.0,10.37,4874.94,6.8,No,No,Winter,Sunny,4461.56,0.0,0.0,199.16,0.083,11,2024,1,10,2
12,ORD100012,P-FUR-014,Furniture,Foldable Bed,North,Lucknow,SUP-011,24.0,WH-NO-03,138.0,9.0,79.0,277.0,8.45,15719.15,26.5,No,No,Summer,Sunny,13401.37,0.0,1.0,597.4,0.107,8,2022,3,19,5
13,ORD100013,P-BEA-005,Beauty,Hair Oil 250ml,West,Pune,SUP-026,4.0,WH-WE-04,352.0,29.0,164.0,832.0,28.54,1147.17,19.4,Yes,No,Winter,Cloudy,1093.92,0.0,0.0,281.43,0.117,34,2022,12,15,3
14,ORD100014,P-CLO-005,Clothing,Woolen Sweater,North,Lucknow,SUP-001,4.0,WH-NO-01,540.0,25.0,183.0,916.0,27.1,1227.01,19.9,No,No,Autumn,Cloudy,1185.29,0.0,0.0,241.25,0.095,31,2021,9,29,2
15,ORD100015,P-GRO-015,Grocery,Tea Powder 500g,South,Kochi,SUP-010,6.0,WH-SO-03,906.0,43.0,322.0,1341.0,43.76,106.65,18.9,No,No,Summer,Cloudy,110.29,0.0,0.0,295.01,0.095,46,2024,3,29,4
16,ORD100016,P-CLO-010,Clothing,Denim Jeans,East,Patna,SUP-009,10.0,WH-EA-02,80.0,22.0,121.0,682.0,20.57,392.17,22.5,No,No,Autumn,Cloudy,412.72,0.0,0.0,323.52,0.177,21,2024,6,30,6
17,ORD100017,P-ELE-007,Electronics,Power Bank 10000mAh,East,Kolkata,SUP-032,7.0,WH-EA-04,80.0,6.0,50.0,260.0,7.48,14032.93,13.3,No,No,Winter,Rainy,13895.18,0.0,1.0,336.39,0.012,8,2023,12,17,6
18,ORD100018,P-BEA-005,Beauty,Herbal Shampoo 200ml,East,Bhubaneswar,SUP-030,6.0,WH-EA-01,458.0,7.0,,547.0,20.05,290.81,8.2,No,No,Summer,,267.75,0.0,0.0,266.58,0.083,19,2024,4,6,5
19,ORD100019,P-FUR-007,Furniture,Sofa Cushion Set,South,Chennai,SUP-004,13.0,WH-SO-01,84.0,4.0,32.0,160.0,,14356.89,8.5,,No,Winter,Rainy,13601.21,0.0,2.0,635.66,0.032,6,2024,1,22,0
20,ORD100020,P-BEA-012,Beauty,Talcum Powder,Central,Raipur,SUP-037,5.0,WH-CE-03,157.0,20.0,129.0,514.0,15.14,352.14,11.3,Yes,No,Summer,Cloudy,396.96,1.0,2.0,353.86,0.06,23,2024,5,5,6
21,ORD100021,P-GRO-003,Grocery,Basmati Rice 5kg,West,Surat,SUP-033,9.0,WH-WE-03,656.0,9.0,297.0,1374.0,41.37,100.86,14.4,Yes,No,Autumn,Sunny,105.94,0.0,0.0,269.88,0.04,49,2022,9,20,1
22,ORD100022,P-SPO-003,Sports,Cycling Helmet,West,Mumbai,SUP-018,9.0,WH-WE-03,103.0,,125.0,404.0,13.82,1935.45,0.9,Yes,No,Autumn,,2155.76,0.0,1.0,357.0,0.104,20,2021,10,28,3
23,ORD100023,P-SPO-005,Sports,Football,East,Bhubaneswar,SUP-009,3.0,WH-EA-05,280.0,9.0,96.0,247.0,11.36,4283.3,6.5,Yes,No,Autumn,Cloudy,4892.2,0.0,0.0,166.07,0.031,15,2024,11,5,1
24,ORD100024,P-BEA-008,Beauty,Lipstick Set,East,Kolkata,SUP-017,3.0,WH-EA-04,557.0,34.0,149.0,1022.0,27.37,274.38,6.3,No,No,Winter,Sunny,259.95,0.0,0.0,106.72,0.11,36,2021,1,4,0
25,ORD100025,P-ELE-013,Electronics,LED TV 43in,East,Kolkata,SUP-024,12.0,WH-EA-02,126.0,9.0,72.0,316.0,12.48,11334.61,11.5,Yes,No,Autumn,Rainy,12078.32,0.0,2.0,463.58,,15,2022,8,16,1
26,ORD100026,P-CLO-004,Clothing,Women's Kurti,South,Bengaluru,SUP-026,6.0,WH-SO-04,190.0,,143.0,606.0,16.85,926.61,11.5,Yes,No,Autumn,Rainy,859.73,0.0,0.0,350.61,0.092,18,2023,11,28,1
27,ORD100027,P-ELE-012,Electronics,Laptop Stand,South,Bengaluru,SUP-014,7.0,WH-SO-03,194.0,7.0,69.0,267.0,10.06,9568.9,5.6,No,No,Summer,Stormy,10359.91,0.0,1.0,374.22,0.07,8,2024,3,4,0
28,ORD100028,P-ELE-014,Electronics,Bluetooth Speaker,East,Patna,SUP-005,6.0,WH-EA-02,110.0,7.0,37.0,178.0,6.77,14331.13,,No,No,Autumn,Sunny,15280.23,0.0,0.0,,0.045,7,2023,9,29,4
29,ORD100029,P-FUR-007,Furniture,Foldable Bed,North,Kanpur,SUP-025,8.0,WH-NO-01,60.0,4.0,32.0,119.0,3.95,5988.18,12.9,Yes,No,Winter,Sunny,4975.42,0.0,0.0,372.09,0.033,4,2022,12,17,5
30,ORD100030,P-BEA-015,Beauty,Lipstick Set,North,Kanpur,SUP-029,10.0,WH-NO-01,342.0,26.0,391.0,1353.0,45.4,954.71,10.3,No,No,Autumn,Sunny,985.47,0.0,2.0,401.71,,39,2024,9,9,0
31,ORD100031,P-SPO-014,Sports,Running Shoes,West,Mumbai,SUP-011,10.0,WH-WE-02,234.0,17.0,132.0,564.0,15.43,4714.12,22.0,Yes,No,Winter,Rainy,4391.08,0.0,3.0,320.67,0.049,23,2021,12,10,4
32,ORD100032,P-GRO-012,Grocery,Masala Mix 200g,North,Kanpur,SUP-026,15.0,WH-NO-05,856.0,37.0,274.0,1021.0,36.4,574.13,13.0,No,No,Autumn,Cloudy,558.49,0.0,3.0,573.87,0.155,41,2021,7,27,1
33,ORD100033,P-GRO-006,Grocery,Tea Powder 500g,East,,SUP-023,4.0,WH-EA-03,452.0,33.0,338.0,1340.0,40.92,449.34,3.9,No,No,Summer,,425.63,0.0,0.0,238.38,0.105,26,2023,7,8,5
34,ORD100034,P-CLO-005,Clothing,Women's Kurti,East,Bhubaneswar,SUP-021,9.0,WH-EA-03,578.0,32.0,232.0,969.0,30.73,719.06,9.4,No,No,Summer,Rainy,771.29,0.0,1.0,403.77,0.038,35,2022,4,14,3
35,ORD100035,P-ELE-013,Electronics,LED TV 43in,North,Jaipur,SUP-001,7.0,WH-NO-02,40.0,10.0,59.0,270.0,9.88,,36.6,No,No,Autumn,Sunny,12366.21,0.0,2.0,413.22,0.11,7,2022,11,17,3
36,ORD100036,P-ELE-007,Electronics,Bluetooth Speaker,West,Ahmedabad,SUP-013,11.0,WH-WE-02,388.0,22.0,154.0,599.0,18.9,1861.49,10.3,No,No,Autumn,Sunny,1671.02,1.0,0.0,365.41,0.035,21,2022,10,30,6
37,ORD100037,P-CLO-001,Clothing,Men's Cotton T-Shirt,North,Lucknow,SUP-015,7.0,WH-NO-04,3539.0,23.0,145.0,639.0,21.45,336.96,4.9,No,No,Winter,Rainy,315.19,0.0,1.0,353.76,0.105,22,2022,1,21,4
38,ORD100038,P-GRO-011,Grocery,Sunflower Oil 1L,West,Ahmedabad,SUP-034,4.0,WH-WE-01,280.0,61.0,529.0,1986.0,59.18,144.98,31.9,No,No,Winter,Sunny,142.49,0.0,0.0,291.97,0.155,84,2024,12,29,6
39,ORD100039,P-FUR-006,Furniture,Office Chair,West,Surat,SUP-034,5.0,WH-WE-04,113.0,8.0,32.0,144.0,4.89,7490.81,5.0,No,No,Summer,Cloudy,7736.65,0.0,0.0,253.75,0.029,6,2022,7,13,2
40,ORD100040,P-CLO-015,Clothing,Woolen Sweater,South,Coimbatore,SUP-035,7.0,WH-SO-05,442.0,7.0,120.0,610.0,17.69,1148.05,10.6,No,No,Autumn,Sunny,1257.88,0.0,0.0,348.4,0.048,22,2023,9,7,3
41,ORD100041,P-BEA-013,Beauty,Lipstick Set,North,Delhi,SUP-019,8.0,WH-NO-05,464.0,16.0,152.0,810.0,26.0,577.94,24.3,Yes,No,Summer,Cloudy,601.69,0.0,0.0,455.95,0.155,22,2021,8,22,6
42,ORD100042,P-FUR-002,Furniture,TV Unit,South,Kochi,SUP-014,3.0,WH-SO-02,150.0,12.0,68.0,231.0,8.74,11665.03,21.0,Yes,No,Winter,Stormy,12209.83,0.0,2.0,336.93,0.042,11,2024,12,18,2
43,ORD100043,P-GRO-014,Grocery,Tea Powder 500g,South,Chennai,SUP-020,11.0,WH-SO-05,551.0,22.0,349.0,958.0,38.82,378.75,6.7,No,No,Winter,Sunny,401.13,0.0,0.0,386.71,0.036,56,2024,12,13,4
44,ORD100044,P-BEA-015,Beauty,Sunscreen Lotion,South,Kochi,SUP-032,11.0,WH-SO-02,100.0,40.0,250.0,1132.0,31.88,911.83,11.1,Yes,No,Summer,Cloudy,971.45,0.0,1.0,483.35,0.056,57,2021,4,11,6
45,ORD100045,P-BEA-012,Beauty,Talcum Powder,Central,Indore,SUP-025,7.0,WH-CE-02,331.0,25.0,159.0,,22.48,661.07,10.1,Yes,No,Autumn,Stormy,715.72,0.0,3.0,492.29,0.078,32,2023,7,29,5
46,ORD100046,P-GRO-005,Grocery,Sugar 1kg,North,Delhi,SUP-025,6.0,WH-NO-02,816.0,22.0,234.0,1069.0,35.85,479.66,9.7,Yes,No,Summer,Sunny,575.79,0.0,0.0,282.71,0.022,56,2023,5,19,4
47,ORD100047,P-GRO-011,Grocery,Sunflower Oil 1L,West,,SUP-018,9.0,WH-WE-01,882.0,69.0,334.0,1626.0,52.84,379.29,13.5,Yes,No,Autumn,Cloudy,403.59,0.0,0.0,230.66,0.061,94,2021,9,11,5
48,ORD100048,P-FUR-014,Furniture,Wooden Bookshelf,North,Chandigarh,SUP-028,5.0,WH-NO-02,126.0,7.0,41.0,148.0,4.94,18295.41,24.8,No,No,Winter,Rainy,18714.75,0.0,,218.63,0.01,7,2024,1,30,1
49,ORD100049,P-ELE-013,Electronics,Laptop Stand,Central,Indore,SUP-035,8.0,WH-CE-05,238.0,10.0,64.0,306.0,10.08,7882.87,2.6,,No,Winter,Sunny,7589.49,0.0,0.0,332.71,0.127,16,2024,1,23,1
50,ORD100050,P-ELE-007,Electronics,Wireless Earbuds,North,Delhi,SUP-027,5.0,WH-NO-04,73.0,8.0,40.0,209.0,8.31,13519.13,18.9,No,No,Summer,Sunny,13854.34,1.0,0.0,250.22,0.02,6,2024,5,18,5
51,ORD100051,P-ELE-011,Electronics,Smartphone Charger,South,Bengaluru,SUP-017,5.0,WH-SO-02,221.0,15.0,112.0,363.0,11.06,2378.52,5.2,No,No,Summer,Sunny,2598.08,0.0,1.0,266.7,0.027,20,2023,5,30,1
52,ORD100052,P-BEA-006,Beauty,Face Wash 100ml,East,Kolkata,SUP-034,8.0,WH-EA-02,413.0,11.0,168.0,701.0,22.94,543.6,20.8,No,No,Autumn,Sunny,490.62,0.0,1.0,380.36,0.087,23,2023,10,31,1
53,ORD100053,P-FUR-004,Furniture,Sofa Cushion Set,North,Kanpur,SUP-038,10.0,WH-NO-02,148.0,7.0,39.0,190.0,5.9,3562.43,24.4,No,No,,,3921.12,0.0,4.0,469.33,0.078,8,2023,11,22,2
54,ORD100054,P-FUR-011,Furniture,Plastic Storage Rack,West,Mumbai,SUP-032,6.0,WH-WE-01,32.0,2.0,18.0,81.0,2.84,8133.92,25.6,No,No,Winter,Sunny,7856.23,0.0,,368.8,0.133,1,2024,1,27,5
55,ORD100055,P-BEA-007,Beauty,Face Wash 100ml,South,Bengaluru,SUP-036,13.0,WH-SO-01,114.0,26.0,167.0,661.0,22.05,,20.4,No,No,Summer,Sunny,1065.86,0.0,1.0,390.75,0.043,21,2023,5,4,3
56,ORD100056,P-CLO-004,Clothing,Cotton Saree,East,Ranchi,SUP-011,3.0,WH-EA-05,80.0,14.0,84.0,373.0,14.52,810.43,34.5,No,No,Winter,Rainy,844.26,0.0,0.0,245.81,0.08,14,2023,12,24,6
