Order_ID,Order_Date,Product_ID,Product_Category,Product_Name,Region,City,Supplier_ID,Supplier_Lead_Time_Days,Warehouse_ID,Current_Inventory,Previous_Day_Sales,Previous_7_Days_Sales,Previous_30_Days_Sales,Average_Daily_Sales,Unit_Price,Discount_Percentage,Promotion,Holiday,Season,Weather,Competitor_Price,Stockout_Days,Delivery_Delay_Days,Transportation_Cost,Customer_Return_Rate,Demand_Quantity
ORD100000,2024-04-02,P-BEA-004,Beauty,Talcum Powder,North,Delhi,SUP-034,4.0,WH-NO-05,310.0,16.0,169.0,533.0,22.23,1023.28,8.0,No,No,Summer,Sunny,1033.61,0.0,21.0,218.83,0.129,22
ORD100001,2023-02-19,P-CLO-006,Clothing,Cotton Saree,West,Surat,SUP-019,13.0,WH-WE-04,100.0,21.0,127.0,488.0,16.42,574.07,3.9,Yes,No,Spring,Sunny,618.38,0.0,2.0,476.26,0.021,29
ORD100002,2024-03-14,P-BEA-013,Beauty,Lipstick Set,West,Pune,SUP-028,11.0,WH-WE-02,120.0,30.0,136.0,642.0,21.96,775.39,21.2,No,No,Summer,Sunny,749.79,0.0,1.0,379.62,0.023,20
ORD100003,2021-10-26,P-FUR-002,Furniture,Study Table,North,Jaipur,SUP-039,2.0,WH-NO-05,156.0,6.0,41.0,238.0,6.76,7612.19,20.2,No,Yes,Autumn,Rainy,7279.16,0.0,,440.4,0.048,9
ORD100004,2022-01-27,P-ELE-002,Electronics,Smartphone Charger,North,Chandigarh,SUP-002,4.0,WH-NO-05,220.0,15.0,64.0,363.0,12.74,5600.06,13.1,No,No,Winter,Sunny,5218.89,0.0,1.0,239.47,0.072,10
ORD100005,2021-05-09,P-SPO-005,Sports,Football,South,Chennai,SUP-005,3.0,WH-SO-01,58.0,11.0,56.0,329.0,10.65,3072.38,9.6,Yes,No,Summer,Rainy,3564.05,1.0,0.0,253.36,0.078,13
ORD100006,2023-09-14,P-BEA-010,Beauty,Lipstick Set,West,Ahmedabad,SUP-037,16.0,WH-WE-01,345.0,36.0,181.0,868.0,30.25,1027.41,10.3,No,No,Autumn,Rainy,1150.14,0.0,1.0,368.05,0.164,36
ORD100007,2023-12-07,P-BEA-013,Beauty,Talcum Powder,East,Kolkata,SUP-023,5.0,WH-EA-02,431.0,27.0,132.0,485.0,19.85,459.05,3.2,No,No,Winter,Sunny,448.22,0.0,1.0,258.87,0.099,23
ORD100008,2022-02-19,P-ELE-009,Electronics,Wireless Earbuds,West,Surat,SUP-025,9.0,WH-WE-04,102.0,8.0,91.0,346.0,11.62,5957.28,18.0,No,No,Spring,Cloudy,6519.78,0.0,1.0,347.3,0.025,13
ORD100009,2022-07-16,P-CLO-008,Clothing,Kids Winter Jacket,South,Chennai,SUP-014,11.0,WH-SO-03,412.0,13.0,151.0,603.0,19.69,518.33,0.3,No,No,Autumn,Sunny,496.51,0.0,1.0,373.85,0.111,24
